07/26/2023, TIBBLE FK RES, RAINBOW, 9.63, 1300
07/20/2023, SILVER L FLAT RES, RAINBOW, 12.44, 1801
07/20/2023, VIVIAN PARK P, RAINBOW, 10.39, 402
07/19/2023, PAYSON RES(BIG EAST), RAINBOW, 9.75, 999
07/19/2023, PAYSON RES(BIG EAST), RAINBOW, 9.75, 999
07/19/2023, TIBBLE FK RES, RAINBOW, 10.02, 2602
07/18/2023, AMERICAN FK CR, RAINBOW, 10.38, 1002
07/18/2023, AMERICAN FK CR, N FK, RAINBOW, 10.38, 652
07/17/2023, MCCLELLAN RES, BROOK TROUT, 2.68, 1196
07/17/2023, PAYSON RES(BIG EAST), BROOK TROUT, 2.68, 3900
07/14/2023, PITTSBURGH L, BROOK TROUT, 2.68, 1001
07/14/2023, SILVER L, BROOK TROUT, 2.68, 1300
07/14/2023, SILVER L FLAT RES, BROOK TROUT, 2.68, 4004
07/11/2023, POLE CANYON PARK POND, RAINBOW, 10.96, 504
07/11/2023, POLE CANYON PARK POND, TIGER TROUT, 11.08, 252
07/11/2023, UTAH L, SUCKER JUNE, 6.6, 27956
07/10/2023, BARTHOLOMEW PARK POND, CUTTHROAT, 15.48, 416
07/10/2023, BARTHOLOMEW PARK POND, CUTTHROAT, 15.48, 385
07/10/2023, MAPLE L, RAINBOW, 9.41, 1005
07/10/2023, MAPLE L, TIGER TROUT, 11.08, 504
07/10/2023, PAYSON RES(BIG EAST), RAINBOW, 9.41, 1500
07/10/2023, PAYSON RES(BIG EAST), RAINBOW, 9.41, 1500
07/10/2023, UTAH L, SUCKER JUNE, 6.97, 24079
07/08/2023, DIAMOND FK R, BROWN TROUT, 2.66, 10668
07/05/2023, MAPLE L, RAINBOW, 9.21, 1008
07/05/2023, SPRING L, RAINBOW, 10.6, 1502
07/03/2023, AMERICAN FK CR, RAINBOW, 10.38, 1001
07/03/2023, AMERICAN FK CR, N FK, RAINBOW, 10.38, 676
06/29/2023, DIAMOND FK R, BROWN TROUT, 4.93, 5940
06/29/2023, HIGHLAND GLEN PARK P, TIGER TROUT, 10.91, 451
06/29/2023, MAPLE L, TIGER TROUT, 10.91, 506
06/29/2023, SALEM POND, TIGER TROUT, 10.91, 1001
06/29/2023, SPANISH FK R, BROWN TROUT, 4.93, 2200
06/29/2023, THISTLE CR, BROWN TROUT, 4.93, 2200
06/28/2023, BARTHOLOMEW PARK POND, RAINBOW, 10.19, 702
06/28/2023, MAPLE L, WIPER, 8.73, 501
06/28/2023, SPRING L, WIPER, 8.73, 802
06/28/2023, VIVIAN PARK P, RAINBOW, 10.19, 400
06/27/2023, MAPLE L, RAINBOW, 9.52, 1001
06/27/2023, MCCLELLAN RES, RAINBOW, 9.52, 1204
06/27/2023, SILVER L FLAT RES, RAINBOW, 12.08, 2001
06/27/2023, TIBBLE FK RES, RAINBOW, 10.67, 3208
06/26/2023, BOX RES, RAINBOW, 9.52, 1798
06/26/2023, PAYSON RES(BIG EAST), RAINBOW, 9.52, 2465
06/26/2023, POLE CANYON PARK POND, RAINBOW, 10.96, 500
06/26/2023, SPRING L, RAINBOW, 10.96, 1482
06/23/2023, PRICE R, BROWN TROUT, 2.34, 5006
06/23/2023, PRICE R(LWR FISH CR), BROWN TROUT, 2.34, 8006
06/22/2023, TIBBLE FK RES, RAINBOW, 11.48, 1490
06/20/2023, MANILA CREEK PARK POND, RAINBOW, 9.68, 469
06/20/2023, SPANISH OAKS P, RAINBOW, 9.68, 500
06/15/2023, CANYON VIEW PARK PD, CHANNEL CATFISH, 10.77, 400
